(313302334, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, 0.52, 0.0, 0.04, 175.46, 175.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313402900, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, 0.53, 0.0, 0.04, 175.46, 175.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313502376, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, 0.52, 0.0, 0.05, 175.47, 175.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313602159, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.61, 0.0, 0.0], [0.0, 0.54, 0.0, 0.04, 175.46, 175.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313702299, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.64, 0.0, 0.0], [0.0, 0.54, 0.0, 0.04, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313802445, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.57, 0.0, 0.0], [0.0, 0.54, 0.0, 0.05, 175.46, 175.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(313903275, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.56, 0.0, 0.0], [0.0, 0.55, 0.0, 0.05, 175.46, 175.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314002387, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.6, 0.0, 0.0], [0.0, 0.55, 0.0, 0.05, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314102759, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, 0.56, 0.0, 0.05, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314202406, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, 0.55, 0.0, 0.05, 175.46, 175.47, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314302305, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [0.0, 0.56, 0.0, 0.05, 175.45, 175.46, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(314402743, [2.0, 0.59, 0.0, 0.51, 0.0, 3.6, 0.0, 2.58, 0.0, 0.0], [0.0, 0.56, 0.0, 0.05, 175.47, 175.48, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
