(58084068, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.52, 0.0, 0.0], [0.0, 0.47, 0.0, -1.21, 53.9, 53.05, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58184040, [2.0, 0.63, 0.0, 0.5, 0.0, 3.6, 0.0, 2.53, 0.0, 0.0], [0.0, 1.47, 0.0, -2.13, 53.9, 52.25, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58283988, [2.0, 0.62, 0.0, 0.49, 0.0, 3.6, 0.0, 2.53, 0.0, 0.0], [0.0, 2.7, 0.0, -3.18, 53.9, 51.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(58383954, [2.0, 0.61, 0.0, 0.49, 0.0, 3.6, 0.0, 2.53, 0.0, 0.0], [-0.35, 3.57, 0.02, -4.54, 53.9, 50.34, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(58484592, [2.0, 0.6, 0.0, 0.48, 0.0, 3.6, 0.0, 2.56, 0.0, 0.0], [-1.2, 3.31, 0.06, -5.48, 53.9, 49.11, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(58584304, [2.0, 0.57, 0.0, 0.47, 0.0, 3.6, 0.0, 2.56, 0.0, 0.0], [-1.63, 2.84, 0.07, -5.89, 53.9, 48.04, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(58683929, [2.0, 0.55, 0.0, 0.43, 0.0, 3.6, 0.0, 2.59, 0.0, 0.0], [-1.86, 3.17, 0.07, -6.09, 53.9, 47.23, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(58784228, [2.0, 0.5, 0.0, 0.4, 0.0, 3.6, 0.0, 2.6, 0.0, 0.0], [-1.98, 2.59, 0.05, -5.85, 53.9, 46.94, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
(58884127, [2.0, 0.46, 0.0, 0.38, 0.0, 3.6, 0.0, 2.6, 0.0, 0.0], [-2.04, 1.51, 0.01, -4.9, 53.9, 47.01, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
(58984547, [2.0, 0.39, 0.0, 0.35, 0.0, 3.6, 0.0, 2.68, 0.0, 0.0], [-2.09, 0.8, -0.02, -4.53, 53.9, 47.45, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
(59084058, [2.0, 0.35, 0.0, 0.3, 0.0, 3.6, 0.0, 2.7, 0.0, 0.0], [-2.14, 0.76, -0.07, -4.21, 53.9, 48.1, 0.05, 1.0], [0.2, 25.0, 0.0, 0.0])
(59184201, [2.0, 0.25, 0.0, 0.24, 0.0, 3.6, 0.0, 2.7, 0.0, 0.0], [-2.17, 1.21, -0.13, -4.67, 53.9, 48.86, 0.06, 1.0], [0.2, 25.0, 0.0, 0.0])
(59284129, [2.0, 0.21, 0.0, 0.22, 0.0, 3.6, 0.0, 2.76, 0.0, 0.0], [-2.21, 0.76, -0.19, -4.23, 53.9, 46.53, 0.06, 1.0], [0.2, 25.0, 0.0, 0.0])
(59384307, [2.0, 0.19, 0.0, 0.19, 0.0, 3.6, 0.0, 2.82, 0.0, 0.0], [-2.25, -0.27, -0.25, -3.76, 53.9, 45.23, 0.12, 1.0], [0.2, 25.0, 0.0, 0.0])
(59484750, [2.0, 0.19, 0.0, 0.2, 0.0, 3.6, 0.0, 2.82, 0.0, 0.0], [-2.28, -0.11, -0.28, -4.61, 53.9, 46.28, 0.12, 1.0], [0.2, 25.0, 0.0, 0.0])
(59584399, [2.0, 0.19, 0.0, 0.2, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-2.59, 0.0, -0.3, -4.82, 53.9, 46.45, 0.11, 1.0], [0.2, 25.0, 0.0, 0.0])
(59684033, [2.0, 0.19, 0.0, 0.19, 0.0, 3.6, 0.0, 2.84, 0.0, 0.0], [-2.69, -0.04, -0.3, -4.78, 53.9, 45.9, 0.11, 1.0], [0.2, 25.0, 0.0, 0.0])
(59784620, [2.0, 0.19, 0.0, 0.2, 0.0, 3.6, 0.0, 2.84, 0.0, 0.0], [-2.51, 0.71, -0.31, -4.24, 53.9, 45.25, 0.11, 1.0], [0.2, 25.0, 0.0, 0.0])
(59883915, [2.0, 0.2, 0.0, 0.2, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-2.58, 0.45, -0.3, -3.79, 53.9, 45.47, 0.11, 1.0], [0.2, 25.0, 0.0, 0.0])
(59984977, [2.0, 0.19, 0.0, 0.2, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-2.84, 0.17, -0.3, -3.15, 53.9, 45.54, 0.09, 1.0], [0.2, 25.0, 0.0, 0.0])
(60083619, [2.0, 0.19, 0.0, 0.2, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-2.97, 0.21, -0.3, -2.57, 53.9, 46.17, 0.09, 1.0], [0.2, 25.0, 0.0, 0.0])
(60183941, [2.0, 0.2, 0.0, 0.2, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-3.03, -0.39, -0.3, -2.82, 53.9, 46.91, 0.07, 1.0], [0.2, 25.0, 0.0, 0.0])
