(43995517, [2.0, 0.58, 0.0, 0.62, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [-9.54, -1.24, -0.39, -0.79, 96.13, 94.68, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(44095494, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.46, 0.0, 0.0], [-9.67, -2.43, -0.39, -1.13, 96.13, 94.12, 0.0, 1.0], [5.95, 25.0, 0.0, 0.0])
(44196056, [2.0, 0.58, 0.0, 0.63, 0.0, 3.6, 0.0, 2.42, 0.0, 0.0], [-9.65, -3.59, -0.39, -2.22, 96.13, 93.45, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(44295598, [2.0, 0.57, 0.0, 0.65, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [-9.61, -4.45, -0.37, -3.75, 96.13, 92.72, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(44395483, [2.0, 0.56, 0.0, 0.66, 0.0, 3.6, 0.0, 2.41, 0.0, 0.0], [-9.58, -4.67, -0.35, -4.85, 96.13, 92.2, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(44495651, [2.0, 0.56, 0.0, 0.68, 0.0, 0.71, 0.0, 3.6, 0.0, 0.0], [-11.2, -4.47, -0.32, -4.19, 96.13, 91.91, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(44595479, [2.0, 0.55, 0.0, 0.69, 0.0, 0.71, 0.0, 2.34, 0.0, 0.0], [-12.82, -6.37, -0.29, -2.26, 96.13, 92.02, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(44695603, [2.0, 0.54, 0.0, 0.71, 0.0, 3.6, 0.0, 2.34, 0.0, 0.0], [-11.0, -6.48, -0.25, -1.59, 96.13, 92.62, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(44795483, [2.0, 0.54, 0.0, 0.73, 0.0, 0.78, 0.0, 3.6, 0.0, 0.0], [-11.06, -6.16, -0.22, -1.56, 96.13, 93.38, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(44895451, [2.0, 0.53, 0.0, 0.75, 0.0, 0.78, 0.0, 2.19, 0.0, 0.0], [-13.21, -8.43, -0.2, -0.69, 96.13, 94.07, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(44995463, [2.0, 0.53, 0.0, 0.76, 0.0, 3.6, 0.0, 2.19, 0.0, 0.0], [-11.09, -8.71, -0.17, -1.04, 96.13, 95.0, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(45095815, [2.0, 0.53, 0.0, 0.78, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-9.85, -7.19, -0.16, -1.57, 96.13, 95.52, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(45195476, [2.0, 0.53, 0.0, 0.79, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-12.44, -8.69, -0.15, -0.81, 96.13, 96.05, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(45295492, [2.0, 0.53, 0.0, 0.84, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-13.99, -10.37, -0.15, -0.94, 96.13, 96.6, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(45395606, [2.0, 0.53, 0.0, 0.86, 0.0, 3.6, 0.0, 3.6, 0.0, 0.0], [-14.75, -10.87, -0.15, -0.96, 96.13, 96.8, 0.04, 1.0], [0.2, 25.0, 0.0, 0.0])
