(21240862, [2.0, 0.54, 0.0, 0.41, 0.0, 1.67, 0.0, 2.59, 0.0, 0.0], [0.0, -0.06, 0.0, -0.61, 359.86, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(21348483, [2.0, 0.54, 0.0, 0.41, 0.0, 1.67, 0.0, 2.59, 0.0, 0.0], [0.0, -0.06, 0.0, -0.6, 359.85, 359.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(21451269, [2.0, 0.54, 0.0, 0.41, 0.0, 3.42, 0.0, 2.57, 0.0, 0.0], [0.0, -0.05, 0.0, -0.61, 359.86, 359.87, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(21583099, [2.0, 0.54, 0.0, 0.41, 0.0, 3.58, 0.0, 2.56, 0.0, 0.0], [0.0, -0.05, 0.0, -0.61, 359.84, 359.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(21686055, [2.0, 0.54, 0.0, 0.41, 0.0, 1.73, 0.0, 2.56, 0.0, 0.0], [0.0, -0.04, 0.0, -0.6, 359.85, 359.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(21787050, [2.0, 0.54, 0.0, 0.41, 0.0, 1.73, 0.0, 2.57, 0.0, 0.0], [0.0, -0.05, 0.0, -0.6, 359.84, 359.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(21891297, [2.0, 0.54, 0.0, 0.41, 0.0, 3.03, 0.0, 2.57, 0.0, 0.0], [0.0, -0.04, 0.0, -0.6, 359.85, 359.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(21992190, [2.0, 0.54, 0.0, 0.41, 0.0, 3.42, 0.0, 2.56, 0.0, 0.0], [0.0, -0.04, 0.0, -0.61, 359.84, 359.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22095993, [2.0, 0.54, 0.0, 0.41, 0.0, 3.58, 0.0, 2.57, 0.0, 0.0], [0.0, -0.03, 0.0, -0.6, 359.84, 359.85, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22205041, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 2.57, 0.0, 0.0], [0.0, -0.03, 0.0, -0.6, 359.85, 359.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22304598, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 3.29, 0.0, 0.0], [0.0, -0.03, 0.0, -0.6, 359.85, 359.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(22404612, [2.0, 0.54, 0.0, 0.41, 0.0, 3.59, 0.0, 3.5, 0.0, 0.0], [0.0, -0.03, 0.0, -0.61, 359.85, 359.86, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
