(32204176, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.29, 144.14, 144.13, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32304109, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.29, 144.28, 144.28, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32404719, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.28, 144.43, 144.43, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32504124, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.2, 0.0, 0.28, 144.58, 144.58, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32604054, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.19, 0.0, 0.28, 144.74, 144.73, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32704662, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [0.0, -0.19, 0.0, 0.28, 144.89, 144.88, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32804903, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [0.0, -0.19, 0.0, 0.28, 144.9, 145.04, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(32905234, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.14, 0.0, 0.0], [0.0, -0.2, 0.0, 0.28, 144.9, 145.19, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33005111, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [0.0, -0.19, 0.0, 0.27, 144.9, 145.34, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33114357, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [0.0, -0.19, 0.0, 0.27, 144.9, 145.5, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33213398, [2.0, 0.62, 0.0, 0.89, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-0.02, -0.19, -0.01, 0.27, 144.9, 145.65, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33313394, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-1.63, -0.19, -0.31, 0.27, 144.9, 145.8, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33413413, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-2.48, -0.18, -0.45, 0.27, 144.9, 145.95, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33513452, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-2.89, -0.18, -0.52, 0.27, 144.9, 146.1, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33613423, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.14, 0.0, 0.0], [-3.1, -0.18, -0.56, 0.27, 144.9, 146.24, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33713468, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.15, 0.0, 0.0], [-3.2, -0.17, -0.58, 0.27, 144.9, 146.39, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
(33813557, [2.0, 0.62, 0.0, 0.88, 0.0, 3.6, 0.0, 2.16, 0.0, 0.0], [-3.26, -0.18, -0.59, 0.27, 144.9, 146.54, 0.0, 1.0], [0.2, 25.0, 0.0, 0.0])
