(316694717, [2.0, 0.89, 0.0, 1.26, 0.0, 3.6, 0.0, 1.19, 0.0, 0.0], [0.0, -1.86, 0.0, -0.98, 93.17, 94.53, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(316795149, [2.0, 0.87, 0.0, 1.28, 0.0, 3.6, 0.0, 1.17, 0.0, 0.0], [0.06, -2.22, 0.91, -1.83, 93.17, 95.34, 0.01, 1.0], [0.2, 25.0, 0.0, 0.0])
(316894787, [2.0, 0.86, 0.0, 1.3, 0.0, 3.6, 0.0, 1.15, 0.0, 0.0], [0.16, -3.01, 1.59, -1.9, 93.17, 95.56, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(316995121, [2.0, 0.83, 0.0, 1.28, 0.0, 3.6, 0.0, 1.13, 0.0, 0.0], [0.24, -2.28, 1.95, -1.57, 93.17, 95.34, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(317094765, [2.0, 0.82, 0.0, 1.27, 0.0, 3.6, 0.0, 1.12, 0.0, 0.0], [0.27, -1.98, 2.15, -1.51, 93.17, 94.83, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(317195112, [2.0, 0.78, 0.0, 1.27, 0.0, 3.6, 0.0, 1.08, 0.0, 0.0], [0.3, -2.3, 2.27, -1.48, 93.17, 94.12, 0.02, 1.0], [0.2, 25.0, 0.0, 0.0])
(317294778, [2.0, 0.76, 0.0, 1.26, 0.0, 3.6, 0.0, 1.06, 0.0, 0.0], [0.34, -2.77, 2.36, -1.31, 93.17, 93.3, 0.03, 1.0], [0.2, 25.0, 0.0, 0.0])
(317394976, [2.0, 0.72, 0.0, 1.27, 0.0, 3.6, 0.0, 1.02, 0.0, 0.0], [0.39, -2.83, 2.44, -1.12, 93.17, 92.3, 0.03, 1.0], [0.21, 25.0, 0.0, 0.0])
(317494812, [2.0, 0.69, 0.0, 1.27, 0.0, 3.6, 0.0, 1.0, 0.0, 0.0], [0.46, -2.18, 2.51, -0.41, 93.17, 90.85, 0.02, 1.0], [0.25, 25.0, 0.0, 0.0])
(317594741, [2.0, 0.64, 0.0, 1.26, 0.0, 2.24, 0.0, 0.95, 0.0, 0.0], [0.68, -1.01, 2.58, 0.71, 93.17, 89.13, 0.02, 1.0], [0.29, 25.0, 0.0, 0.0])
(317694967, [2.0, 0.62, 0.0, 1.25, 0.0, 2.24, 0.0, 0.93, 0.0, 0.0], [0.9, -0.8, 2.64, 1.2, 93.17, 86.96, 0.02, 1.0], [0.33, 25.0, 0.0, 0.0])
